Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
173,K6DNA,441.25000,+,5.00000,Tone,141.3,88.5,023,NN,FM,5,"South San Francisco",
174,K6RDJ,441.27500,+,5.00000,Tone,77.0,77.0,023,NN,FM,5,"Modesto, Mt Oso",
175,W6BML,441.27500,+,5.00000,,88.5,88.5,23,NN,DV,5,"Mount Shasta",
176,K6BEN,441.27500,+,5.00000,,88.5,88.5,23,NN,FM,5,"San Jose",
177,WB6ECE,441.30000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Fremont, Mt Allison",
178,WB6ECE,441.30000,+,5.00000,Tone,136.5,88.5,023,NN,FM,5,"Monterey",
179,WB6ECE,441.30000,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"San Jose, Mt Umunhum",
180,KV6A,441.30000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Santa Rosa",
181,KD6RC,441.30000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Santa Rosa",
182,N6NA,441.30000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Shingle Springs",
183,WB6ECE,441.30000,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Woodside",
184,W6CX,441.32500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Mt Diablo",
185,WE6R,441.32500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Monterey",
186,KG6UFR,441.35000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Kelseyville",
187,K6SIX,441.35000,+,5.00000,Tone,107.2,88.5,023,NN,FM,5,"Mariposa, Mt Bullion",
188,W6PIY,441.35000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"San Jose",
189,N6TZG,441.37500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Chester",
190,W6SON,441.37500,+,5.00000,Tone,88.5,88.5,023,NN,Auto,5,"Sebastopol, English Hill",
191,WB6LZV,441.37500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"West Point",
192,WB6RHC,441.40000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Chico",
