Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
122,K6GRC,145.31000,-,0.60000,Tone,127.3,88.5,023,NN,FM,5,"Cupertino",
123,KF6OTM,145.31000,-,0.60000,Tone,127.3,88.5,023,NN,FM,5,"Groveland",
124,KF6NQR,145.31000,-,0.60000,Tone,118.8,88.5,023,NN,FM,5,"Manteca",
125,KG6TZT,145.31000,-,0.60000,Tone,151.4,88.5,023,NN,FM,5,"Nevada City",
126,KE6WDX,145.31000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Porterville, Blue Ridge",
127,KB6FEC,145.31000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"San Jose",
128,AC6P,145.31000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"Santa Cruz",
129,WA6WFU,145.31000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Truckee,  Alder Hill",
130,K6LI,145.31000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Vallejo",
131,WD6APP,145.32000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Mission Hills",
132,W6TRW,145.32000,-,0.60000,Tone,114.8,114.8,023,NN,FM,5,"Redondo Beach",
133,WD8RCL,145.32000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Thousand Oaks",
134,K6POU,145.33000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Mt Diablo",
135,KM6OU,145.33000,-,0.60000,Tone,146.2,88.5,023,NN,FM,5,"Lemoore",
136,AB6BP,145.33000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Visalia",
137,W6DNC,145.33000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Watsonville",
138,N6MRN,145.34000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Palm Desert, Santa Rosa Peak",
139,WA6YBN,145.34000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Ridgecrest, Randsburg Peak",
140,WA6TTL,145.34000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Simi Valley, Chatsworth Peak",
141,KR6DK,145.35000,-,0.60000,Tone,67.0,88.5,023,NN,FM,5,"Bakersfield",
142,KI6YDR,145.35000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"Boulder Creek",
143,W6QWN,145.35000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Burney",
144,AB6CR,145.35000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Mt Diablo",
145,WA6YGD,145.35000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Santa Rosa",
146,KA6GWY,145.35000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"South Lake Tahoe",
147,K6DRT,145.36000,-,0.60000,Tone,156.7,156.7,023,NN,FM,5,"Agoura Hills, Kimberly Peak",
148,WR7NV,145.36000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"La Quinta",
149,W6AB,145.36000,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"Lompoc",
150,K9KAO,145.36000,-,0.60000,Tone,91.5,88.5,023,NN,FM,5,"Riverside, Box Springs Mountain",
151,WR7NV,145.36000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"San Diego, Black Mtn",
152,KD6CQ,145.37000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"El Dorado Hills",
153,K6PLU,145.37000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Hamilton Branch, Dyer Mtn ",
154,N6SPD,145.37000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"King City, Williams Hill",
